Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,mae,mse,r2,rmse
2022-03-01 23:36:49,15ms,0ba635a5bcd34b22adbc515aded84fc6,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,5,,,,2,2,,1690,,,,,,178114.78330880817,69455182594.27937,0.7546340698673497,263543.5117666139
2022-03-01 23:44:17,17ms,38b97eda1bbf464283ac02ce63d7967d,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,60,4,,,,2,5,,1225,,,,,,178115.93001644514,69067822559.93394,0.7560025056207849,262807.57705959305
2022-03-01 23:39:55,20ms,97299ceed0cb43a1bca005a1784c549e,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,4,,,,2,5,,1420,,,,,,178146.20457772125,69135913069.56439,0.7557619607023981,262937.089566239
2022-03-01 23:42:15,29ms,37a4c1a34372422d8fcff5f1b0c1ed90,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,2,5,,2020,,,,,,178172.2007663398,69123224475.07149,0.7558067859936657,262912.959884201
2022-03-01 23:37:03,16ms,a58daeb411e64792acad6f9bde16062b,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,5,,,,2,2,,1990,,,,,,178223.5839516746,69426336820.32838,0.7547359740002237,263488.7793063082
2022-03-01 23:43:40,18ms,55acd14517ed4a8c8e8f7b6f0adbfd4b,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,5,,,,2,2,,2080,,,,,,178228.32690499688,69442061887.57918,0.7546804216914071,263518.61772478087
2022-03-01 23:38:32,22ms,b05d1806b2cb463dae32d8b1c2225f4f,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,5,,985,,,,,,178286.38646668143,69196429678.72993,0.755548172277377,263052.14250929403
2022-03-01 23:39:02,27ms,05ac173d0a5b4ac1af8211b1bd3d22b5,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,5,,1960,,,,,,178367.2566349027,69309767686.26158,0.7551477804765258,263267.4831540378
2022-03-01 23:37:10,51ms,a7249dbcb94a4eb899196b5b70cfa56e,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,80,6,,,,4,2,,895,,,,,,178413.8989621723,69376285857.89104,0.7549127901929651,263393.7847746052
2022-03-01 23:41:03,25ms,a521b16b6203460a94235434d632bac4,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,60,3,,,,2,5,,1450,,,,,,178497.7594077489,69424974426.93677,0.7547407869588721,263486.1939968331
